umdm,umam,type,base,ext,status,source
umd_678116,umd_678117,audio,scpa-023118-0001,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-023118-0001.wav
umd_678118,umd_678119,audio,scpa-023119-0001,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-023119-0001.wav
umd_678120,umd_678121,audio,scpa-023120-0001,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-023120-0001.wav
umd_678122,umd_678123,audio,scpa-023121-0001,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-023121-0001.wav
umd_678124,umd_678125,audio,scpa-023122-0001,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-023122-0001.wav
umd_678126,umd_678127,audio,scpa-023123-0001,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-023123-0001.wav
umd_678128,umd_678129,audio,scpa-023124-0001,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-023124-0001.wav
umd_678130,umd_678131,audio,scpa-023125-0001,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-023125-0001.wav
umd_678132,umd_678133,audio,scpa-023126-0001,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-023126-0001.wav
umd_678134,umd_678135,audio,scpa-023127-0001,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-023127-0001.wav
umd_678136,umd_678137,audio,scpa-023128-0001,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-023128-0001.wav
